system_index,Name,altitudeMo,classification,descriptio,extrude,icon,tessellate,visibility,geo
20210107T045201_20210107T045200_T45RUH_00000000000000000000_0,perennial_2_tile,,2,,0,,1,-1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.01397596266042,24.87254079513223]}"
20210107T045201_20210107T045200_T45RUH_00000000000000000000_1,perennial_2_tile,,1,,0,,1,-1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.01427290832072,24.87254275586171]}"
20210107T045201_20210107T045200_T45RUH_00000000000000000000_2,perennial_2_tile,,1,,0,,1,-1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.0145698540123,24.872544716000814]}"
20210107T045201_20210107T045200_T45RUH_00000000000000000000_3,perennial_2_tile,,2,,0,,1,-1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.0133842223024,24.872265974846044]}"
20210107T045201_20210107T045200_T45RUH_00000000000000000000_4,perennial_2_tile,,2,,0,,1,-1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.013681167253,24.872267936732047]}"
20210107T045201_20210107T045200_T45RUH_00000000000000000000_5,perennial_2_tile,,2,,0,,1,-1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.01397811223491,24.87226989802769]}"
20210107T045201_20210107T045200_T45RUH_00000000000000000000_6,perennial_2_tile,,2,,0,,1,-1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.0142750572481,24.872271858732965]}"
20210107T045201_20210107T045200_T45RUH_00000000000000000000_7,perennial_2_tile,,1,,0,,1,-1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.01457200229258,24.872273818847876]}"
20210107T045201_20210107T045200_T45RUH_00000000000000000000_8,perennial_2_tile,,2,,0,,1,-1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.01308942886757,24.87199311532778]}"
20210107T045201_20210107T045200_T45RUH_00000000000000000000_9,perennial_2_tile,,4,,0,,1,-1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.01338637313977,24.87199507777992]}"
20210107T045201_20210107T045200_T45RUH_00000000000000000000_10,perennial_2_tile,,2,,0,,1,-1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.0136833174433,24.87199703964171]}"
20210107T045201_20210107T045200_T45RUH_00000000000000000000_11,perennial_2_tile,,2,,0,,1,-1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.0139802617781,24.871999000913142]}"
20210107T045201_20210107T045200_T45RUH_00000000000000000000_12,perennial_2_tile,,2,,0,,1,-1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.01427720614421,24.872000961594217]}"
20210107T045201_20210107T045200_T45RUH_00000000000000000000_13,perennial_2_tile,,2,,0,,1,-1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.01457415054159,24.872002921684942]}"
20210107T045201_20210107T045200_T45RUH_00000000000000000000_14,perennial_2_tile,,1,,0,,1,-1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.01487109497026,24.87200488118531]}"
20210107T045201_20210107T045200_T45RUH_00000000000000000000_15,perennial_2_tile,,4,,0,,1,-1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.01338852394584,24.871724180703794]}"
20210107T045201_20210107T045200_T45RUH_00000000000000000000_16,perennial_2_tile,,2,,0,,1,-1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.01368546760226,24.87172614254137]}"
20210107T045201_20210107T045200_T45RUH_00000000000000000000_17,perennial_2_tile,,2,,0,,1,-1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.01398241129,24.871728103788595]}"
20210107T045201_20210107T045200_T45RUH_00000000000000000000_18,perennial_2_tile,,2,,0,,1,-1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.01427935500902,24.871730064445472]}"
20210107T045201_20210107T045200_T45RUH_00000000000000000000_19,perennial_2_tile,,2,,0,,1,-1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.01457629875934,24.871732024512003]}"
20210107T045201_20210107T045200_T45RUH_00000000000000000000_20,perennial_2_tile,,2,,0,,1,-1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.01487324254092,24.871733983988186]}"
20210107T045201_20210107T045200_T45RUH_00000000000000000000_21,perennial_2_tile,,2,,0,,1,-1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.01517018635379,24.871735942874018]}"
20210107T045201_20210107T045200_T45RUH_00000000000000000000_22,perennial_2_tile,,2,,0,,1,-1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.01368761772994,24.87145524543103]}"
20210107T045201_20210107T045200_T45RUH_00000000000000000000_23,perennial_2_tile,,2,,0,,1,-1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.0139845607706,24.87145720665405]}"
20210107T045201_20210107T045200_T45RUH_00000000000000000000_24,perennial_2_tile,,2,,0,,1,-1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.01428150384255,24.87145916728673]}"
20210107T045201_20210107T045200_T45RUH_00000000000000000000_25,perennial_2_tile,,2,,0,,1,-1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.01457844694579,24.87146112732907]}"
20210107T045201_20210107T045200_T45RUH_00000000000000000000_26,perennial_2_tile,,2,,0,,1,-1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.01487539008032,24.871463086781066]}"
20210107T045201_20210107T045200_T45RUH_00000000000000000000_27,perennial_2_tile,,2,,0,,1,-1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.0151723332461,24.871465045642722]}"
20210107T045201_20210107T045200_T45RUH_00000000000000000000_28,perennial_2_tile,,1,,0,,1,-1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.01546927644313,24.871467003914038]}"
20210107T045201_20210107T045200_T45RUH_00000000000000000000_29,perennial_2_tile,,2,,0,,1,-1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.0136897678263,24.87118434831069]}"
20210107T045201_20210107T045200_T45RUH_00000000000000000000_30,perennial_2_tile,,2,,0,,1,-1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.01398671021991,24.8711863095095]}"
