Time,NDWI
"Jan 23, 2020",0.39
"Jan 23, 2020",0.39
"Feb 2, 2020",0.384
"Feb 2, 2020",0.384
"Feb 12, 2020",0.4
"Feb 12, 2020",0.4
"Feb 17, 2020",0.414
"Feb 17, 2020",0.414
"Mar 3, 2020",0.299
"Mar 3, 2020",0.298
"Mar 18, 2020",0.41
"Mar 18, 2020",0.41
"Mar 18, 2020",0.41
"Mar 18, 2020",0.41
"Apr 2, 2020",0.352
"Apr 2, 2020",0.352
"Apr 7, 2020",0.259
"Apr 7, 2020",0.259
"Apr 17, 2020",0.262
"Apr 17, 2020",0.262
"May 7, 2020",0.321
"May 22, 2020",0.113
"Oct 19, 2020",0.286
"Oct 19, 2020",0.286
"Oct 29, 2020",0.369
"Oct 29, 2020",0.369
"Nov 3, 2020",0.304
"Nov 8, 2020",0.339
"Nov 8, 2020",0.339
"Nov 13, 2020",0.376
"Nov 13, 2020",0.376
"Nov 23, 2020",0.395
"Nov 23, 2020",0.395
"Nov 28, 2020",0.418
"Nov 28, 2020",0.418
"Dec 3, 2020",0.216
"Dec 3, 2020",0.216
"Dec 18, 2020",0.45
"Dec 18, 2020",0.45
"Dec 23, 2020",0.392
"Dec 23, 2020",0.392
"Dec 28, 2020",0.401
"Dec 28, 2020",0.401
"Jan 7, 2021",0.462
"Jan 7, 2021",0.462
"Feb 1, 2021",0.389
"Feb 1, 2021",0.389
"Feb 11, 2021",0.315
"Feb 11, 2021",0.315
"Feb 16, 2021",0.404
"Feb 16, 2021",0.404
"Feb 21, 2021",0.308
"Feb 21, 2021",0.308
"Feb 26, 2021",0.41
"Feb 26, 2021",0.41
"Mar 3, 2021",0.387
"Mar 3, 2021",0.387
"Mar 8, 2021",0.296
"Mar 8, 2021",0.296
"Mar 28, 2021",0.301
"Mar 28, 2021",0.301
"Apr 2, 2021",0.323
"Apr 2, 2021",0.323
"Apr 7, 2021",0.141
"Apr 7, 2021",0.141
"Apr 17, 2021",0.103
"May 17, 2021",0.096
"May 17, 2021",0.096
"Oct 24, 2021",0.294
"Nov 3, 2021",0.231
"Nov 3, 2021",0.231
"Nov 8, 2021",0.275
"Nov 8, 2021",0.275
"Nov 18, 2021",0.336
"Nov 23, 2021",0.329
"Nov 23, 2021",0.328
"Dec 8, 2021",0.439
"Dec 8, 2021",0.439
"Dec 13, 2021",0.174
"Dec 13, 2021",0.174
"Dec 18, 2021",0.205
"Dec 18, 2021",0.205
"Jan 7, 2022",0.402
"Jan 7, 2022",0.402
"Jan 22, 2022",0.215
"Feb 1, 2022",0.153
"Feb 6, 2022",0.184
"Feb 11, 2022",0.197
"Feb 16, 2022",0.162
"Feb 21, 2022",0.127
"Feb 21, 2022",0.127
"Feb 21, 2022",0.127
"Feb 21, 2022",0.127
"Feb 26, 2022",0.133
"Mar 3, 2022",0.143
"Mar 3, 2022",0.143
"Mar 8, 2022",0.15
"Mar 8, 2022",0.15
"Mar 13, 2022",0.145
"Mar 13, 2022",0.145
"Mar 18, 2022",0.127
"Mar 18, 2022",0.127
"Mar 23, 2022",0.114
"Mar 23, 2022",0.114
"Mar 28, 2022",0.112
"Mar 28, 2022",0.112
"Apr 2, 2022",0.1
"Apr 7, 2022",0.124
"Apr 7, 2022",0.124
"Apr 17, 2022",0.078
"Apr 17, 2022",0.078
"Apr 27, 2022",0.08
"Apr 27, 2022",0.08
"May 2, 2022",0.049
"May 27, 2022",0.102
"Jun 11, 2022",0.043
"Jun 11, 2022",0.043
