system_index,Name,altitudeMo,classification,descriptio,extrude,icon,tessellate,visibility,geo
20191009T051719_20191009T052831_T43QFE_00000000000000000000_0,perennial_1,,2,,0,,1,-1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.66814347923778,22.181255284758944]}"
20191009T051719_20191009T052831_T43QFE_00000000000000000000_1,perennial_1,,2,,0,,1,-1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.66843436550229,22.181252305778294]}"
20191009T051719_20191009T052831_T43QFE_00000000000000000000_2,perennial_1,,2,,0,,1,-1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.66872525171742,22.18124932627875]}"
20191009T051719_20191009T052831_T43QFE_00000000000000000004_0,perennial_5,,2,,0,,1,-1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.34244860774425,21.827380309432538]}"
20191009T051719_20191009T052831_T43QFE_00000000000000000004_1,perennial_5,,2,,0,,1,-1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.34273881661711,21.827377948174952]}"
20191009T051719_20191009T052831_T43QFE_00000000000000000004_2,perennial_5,,2,,0,,1,-1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.34244607911089,21.827109341476515]}"
20191009T051719_20191009T052831_T43QFE_00000000000000000004_3,perennial_5,,2,,0,,1,-1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.34273628743753,21.82710698025118]}"
20191009T051719_20191009T052831_T43QFE_0000000000000000000a_0,seasonal_5,,2,,0,,1,-1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.32204425944308,21.817789397101485]}"
20191009T051719_20191009T052831_T43QFE_0000000000000000000a_1,seasonal_5,,2,,0,,1,-1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.32204177044319,21.817518426575486]}"
20191009T051719_20191009T052831_T43QFE_0000000000000000000a_2,seasonal_5,,2,,0,,1,-1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.3223319618463,21.81751610219824]}"
20191009T051719_20191009T052831_T43QFE_0000000000000000000a_3,seasonal_5,,2,,0,,1,-1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.32232947233925,21.81724513169484]}"
20191009T051719_20191009T052831_T43QFE_0000000000000000000a_4,seasonal_5,,2,,0,,1,-1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.32261966315765,21.81724280683953]}"
20191009T051719_20191009T052831_T43QFE_0000000000000000000a_5,seasonal_5,,2,,0,,1,-1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.32261717314343,21.816971836358743]}"
20191009T051719_20191009T052831_T43QFE_0000000000000000000a_6,seasonal_5,,2,,0,,1,-1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.3229073633771,21.816969511025388]}"
20191009T051719_20191009T052831_T43QFE_0000000000000000000a_7,seasonal_5,,2,,0,,1,-1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.32290487285574,21.816698540567213]}"
20191009T051719_20191009T052831_T43QFE_0000000000000000000b_0,seasonal_1,,2,,0,,1,-1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.33873423136075,21.802479478862217]}"
20191009T051719_20191009T052831_T43QFE_0000000000000000000b_1,seasonal_1,,2,,0,,1,-1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.33873171289457,21.802208509676618]}"
20191009T051719_20191009T052831_T43QGF_00000000000000000005_0,perennial_6,,2,,0,,1,-1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.3286485561386,22.957019132491446]}"
20191009T051719_20191009T052831_T43QGF_00000000000000000005_1,perennial_6,,2,,0,,1,-1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.32894095638132,22.9570148373494]}"
20191009T051719_20191009T052831_T43QGF_00000000000000000005_2,perennial_6,,2,,0,,1,-1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.32864391837916,22.956748352480297]}"
20191009T051719_20191009T052831_T43QGF_00000000000000000005_3,perennial_6,,2,,0,,1,-1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.3289363180408,22.95674405739458]}"
20191009T051719_20191009T052831_T43QGF_00000000000000000005_4,perennial_6,,2,,0,,1,-1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.32922871763223,22.95673976177062]}"
20191009T051719_20191009T052831_T43QGF_00000000000000000005_5,perennial_6,,2,,0,,1,-1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.32863928068991,22.956477572459015]}"
20191009T051719_20191009T052831_T43QGF_00000000000000000005_6,perennial_6,,2,,0,,1,-1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.3289316797705,22.956473277429616]}"
20191009T051719_20191009T052831_T43QGF_00000000000000000005_7,perennial_6,,2,,0,,1,-1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.32922407878087,22.956468981861995]}"
20191009T051719_20191009T052831_T43QGF_0000000000000000000d_0,seasonal_7,,2,,0,,1,-1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.62676598313088,23.083429039311696]}"
20191009T051719_20191009T052831_T43QGF_0000000000000000000d_1,seasonal_7,,2,,0,,1,-1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.62646811368062,23.083163194030348]}"
20191009T051719_20191009T052831_T43QGF_0000000000000000000d_2,seasonal_7,,2,,0,,1,-1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.62676071988734,23.083158324870695]}"
20191009T051719_20191009T052831_T43QGF_0000000000000000000d_3,seasonal_7,,2,,0,,1,-1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.62705332601466,23.08315345516996]}"
20191009T051719_20191009T052831_T43QGF_0000000000000000000d_4,seasonal_7,,2,,0,,1,-1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.62646285110117,23.082892479515376]}"
20191009T051719_20191009T052831_T43QGF_0000000000000000000d_5,seasonal_7,,2,,0,,1,-1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.62675545672326,23.082887610419288]}"
20191009T051719_20191009T052831_T43QGF_0000000000000000000d_6,seasonal_7,,2,,0,,1,-1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.62704806226594,23.082882740782125]}"
20191009T051719_20191009T052831_T43QGF_0000000000000000000d_7,seasonal_7,,2,,0,,1,-1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.62734066772916,23.082877870603884]}"
20191009T051719_20191009T052831_T43QGF_0000000000000000000d_8,seasonal_7,,2,,0,,1,-1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.62645758860114,23.08262176498999]}"
20191009T051719_20191009T052831_T43QGF_0000000000000000000d_9,seasonal_7,,2,,0,,1,-1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.6267501936386,23.082616895957468]}"
20191009T051719_20191009T052831_T43QGF_0000000000000000000d_10,seasonal_7,,2,,0,,1,-1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.62704279859663,23.082612026383874]}"
20191009T051719_20191009T052831_T43QGF_0000000000000000000d_11,seasonal_7,,2,,0,,1,-1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.62733540347523,23.082607156269212]}"
20191009T051719_20191009T052831_T43QGF_0000000000000000000d_12,seasonal_7,,2,,0,,1,-1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.6276280082744,23.08260228561348]}"
20191009T051719_20191009T052831_T43QGF_0000000000000000000d_13,seasonal_7,,2,,0,,1,-1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.62615972164828,23.082355918882097]}"
20191009T051719_20191009T052831_T43QGF_0000000000000000000d_14,seasonal_7,,2,,0,,1,-1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.62645232618053,23.082351050454204]}"
20191009T051719_20191009T052831_T43QGF_0000000000000000000d_15,seasonal_7,,2,,0,,1,-1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.62674493063335,23.08234618148524]}"
20191009T051719_20191009T052831_T43QGF_0000000000000000000d_16,seasonal_7,,2,,0,,1,-1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.62703753500676,23.082341311975217]}"
20191009T051719_20191009T052831_T43QGF_0000000000000000000d_17,seasonal_7,,2,,0,,1,-1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.62733013930074,23.082336441924127]}"
