Time,NDWI
"Jan 23, 2020",0.372
"Jan 23, 2020",0.371
"Feb 2, 2020",0.349
"Feb 2, 2020",0.349
"Feb 12, 2020",0.332
"Feb 12, 2020",0.332
"Feb 17, 2020",0.305
"Feb 17, 2020",0.305
"Mar 3, 2020",0.157
"Mar 3, 2020",0.157
"Mar 18, 2020",0.302
"Mar 18, 2020",0.302
"Apr 2, 2020",0.228
"Apr 2, 2020",0.228
"Apr 7, 2020",0.138
"Apr 7, 2020",0.138
"Apr 17, 2020",0.094
"Apr 17, 2020",0.095
"May 7, 2020",0.122
"May 22, 2020",-0.077
"Oct 19, 2020",0.221
"Oct 19, 2020",0.22
"Oct 29, 2020",0.201
"Oct 29, 2020",0.201
"Nov 3, 2020",0.194
"Nov 8, 2020",0.177
"Nov 8, 2020",0.177
"Nov 13, 2020",0.186
"Nov 13, 2020",0.186
"Nov 23, 2020",0.122
"Nov 23, 2020",0.122
"Nov 28, 2020",0.104
"Nov 28, 2020",0.104
"Dec 3, 2020",0.106
"Dec 3, 2020",0.106
"Dec 18, 2020",-0.054
"Dec 18, 2020",-0.054
"Dec 23, 2020",-0.017
"Dec 23, 2020",-0.017
"Dec 28, 2020",-0.11
"Dec 28, 2020",-0.11
"Jan 7, 2021",-0.185
"Jan 7, 2021",-0.184
"Feb 1, 2021",-0.035
"Feb 1, 2021",-0.035
"Feb 11, 2021",-0.106
"Feb 11, 2021",-0.106
"Feb 16, 2021",-0.258
"Feb 16, 2021",-0.258
"Feb 21, 2021",-0.154
"Feb 21, 2021",-0.154
"Feb 26, 2021",-0.225
"Feb 26, 2021",-0.225
"Mar 3, 2021",-0.179
"Mar 3, 2021",-0.179
"Mar 8, 2021",-0.145
"Mar 8, 2021",-0.145
"Mar 28, 2021",-0.142
"Mar 28, 2021",-0.142
"Apr 2, 2021",-0.171
"Apr 2, 2021",-0.171
"Apr 7, 2021",-0.12
"Apr 7, 2021",-0.12
"Apr 17, 2021",-0.135
"May 17, 2021",-0.393
"May 17, 2021",-0.393
"Oct 24, 2021",0.271
"Nov 3, 2021",0.191
"Nov 3, 2021",0.191
"Nov 8, 2021",0.237
"Nov 8, 2021",0.237
"Nov 18, 2021",0.313
"Nov 23, 2021",0.311
"Nov 23, 2021",0.311
"Dec 8, 2021",0.4
"Dec 8, 2021",0.4
"Dec 13, 2021",0.166
"Dec 13, 2021",0.166
"Dec 18, 2021",0.169
"Dec 18, 2021",0.17
"Jan 7, 2022",0.409
"Jan 7, 2022",0.409
"Jan 22, 2022",0.168
"Feb 1, 2022",0.137
"Feb 6, 2022",0.151
"Feb 11, 2022",0.184
"Feb 16, 2022",0.128
"Feb 21, 2022",0.106
"Feb 21, 2022",0.106
"Feb 21, 2022",0.106
"Feb 21, 2022",0.106
"Feb 26, 2022",0.102
"Mar 3, 2022",0.133
"Mar 3, 2022",0.133
"Mar 8, 2022",0.134
"Mar 8, 2022",0.134
"Mar 13, 2022",0.131
"Mar 13, 2022",0.131
"Mar 18, 2022",0.102
"Mar 18, 2022",0.102
"Mar 23, 2022",0.069
"Mar 23, 2022",0.069
"Mar 28, 2022",0.052
"Mar 28, 2022",0.052
"Apr 2, 2022",0.017
"Apr 7, 2022",-0.083
"Apr 7, 2022",-0.084
"Apr 17, 2022",-0.102
"Apr 17, 2022",-0.102
"Apr 27, 2022",-0.088
"Apr 27, 2022",-0.088
"May 2, 2022",-0.059
"May 27, 2022",-0.04
"Jun 11, 2022",-0.065
"Jun 11, 2022",-0.065
