system_index,Name,altitudeMo,classification,descriptio,extrude,icon,tessellate,visibility,geo
20210119T053141_20210119T053141_T43QDB_00000000000000000000_0,seasonal_6_tile,,4,,0,,1,-1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.04379129817585,19.85426500955905]}"
20210119T053141_20210119T053141_T43QDB_00000000000000000000_1,seasonal_6_tile,,4,,0,,1,-1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.04407782787177,19.8542649389556]}"
20210119T053141_20210119T053141_T43QDB_00000000000000000000_2,seasonal_6_tile,,4,,0,,1,-1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.04436435756645,19.854264867891693]}"
20210119T053141_20210119T053141_T43QDB_00000000000000000000_3,seasonal_6_tile,,2,,0,,1,-1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.04465088725989,19.854264796367328]}"
20210119T053141_20210119T053141_T43QDB_00000000000000000000_4,seasonal_6_tile,,1,,0,,1,-1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.04493741695208,19.854264724382507]}"
20210119T053141_20210119T053141_T43QDB_00000000000000000000_5,seasonal_6_tile,,2,,0,,1,-1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.045223946643,19.85426465193723]}"
20210119T053141_20210119T053141_T43QDB_00000000000000000000_6,seasonal_6_tile,,3,,0,,1,-1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.04551047633268,19.854264579031497]}"
20210119T053141_20210119T053141_T43QDB_00000000000000000000_7,seasonal_6_tile,,4,,0,,1,-1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.04579700602106,19.854264505665302]}"
20210119T053141_20210119T053141_T43QDB_00000000000000000000_8,seasonal_6_tile,,4,,0,,1,-1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.04608353570816,19.854264431838658]}"
20210119T053141_20210119T053141_T43QDB_00000000000000000000_9,seasonal_6_tile,,4,,0,,1,-1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.04637006539397,19.85426435755155]}"
20210119T053141_20210119T053141_T43QDB_00000000000000000000_10,seasonal_6_tile,,4,,0,,1,-1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.04665659507849,19.854264282803985]}"
20210119T053141_20210119T053141_T43QDB_00000000000000000000_11,seasonal_6_tile,,4,,0,,1,-1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.0469431247617,19.85426420759597]}"
20210119T053141_20210119T053141_T43QDB_00000000000000000000_12,seasonal_6_tile,,4,,0,,1,-1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.04722965444357,19.854264131927497]}"
20210119T053141_20210119T053141_T43QDB_00000000000000000000_13,seasonal_6_tile,,4,,0,,1,-1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.04379122379932,19.85399390454067]}"
20210119T053141_20210119T053141_T43QDB_00000000000000000000_14,seasonal_6_tile,,3,,0,,1,-1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.04407775300858,19.85399383393826]}"
20210119T053141_20210119T053141_T43QDB_00000000000000000000_15,seasonal_6_tile,,4,,0,,1,-1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.04436428221662,19.853993762875405]}"
20210119T053141_20210119T053141_T43QDB_00000000000000000000_16,seasonal_6_tile,,2,,0,,1,-1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.04465081142341,19.8539936913521]}"
20210119T053141_20210119T053141_T43QDB_00000000000000000000_17,seasonal_6_tile,,3,,0,,1,-1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.04493734062893,19.85399361936834]}"
20210119T053141_20210119T053141_T43QDB_00000000000000000000_18,seasonal_6_tile,,3,,0,,1,-1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.04522386983322,19.85399354692413]}"
20210119T053141_20210119T053141_T43QDB_00000000000000000000_19,seasonal_6_tile,,3,,0,,1,-1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.04551039903623,19.85399347401947]}"
20210119T053141_20210119T053141_T43QDB_00000000000000000000_20,seasonal_6_tile,,1,,0,,1,-1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.04579692823796,19.853993400654364]}"
20210119T053141_20210119T053141_T43QDB_00000000000000000000_21,seasonal_6_tile,,1,,0,,1,-1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.04608345743843,19.853993326828807]}"
20210119T053141_20210119T053141_T43QDB_00000000000000000000_22,seasonal_6_tile,,3,,0,,1,-1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.04636998663759,19.8539932525428]}"
20210119T053141_20210119T053141_T43QDB_00000000000000000000_23,seasonal_6_tile,,2,,0,,1,-1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.04665651583545,19.853993177796344]}"
