system:index,Name,altitudeMo,classification,descriptio,extrude,icon,tessellate,visibility,.geo
20170114T051141_20170114T052353_T43PFP_00000000000000000000_53,AlanahalliKere,,1,,0,,1,-1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.7074001749644,12.283078773152909]}"
20170114T051141_20170114T052353_T43PFP_00000000000000000000_54,AlanahalliKere,,1,,0,,1,-1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.70767592853737,12.283077053340756]}"
20170114T051141_20170114T052353_T43PFP_00000000000000000000_55,AlanahalliKere,,4,,0,,1,-1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.70795168206874,12.283075333251185]}"
20170114T051141_20170114T052353_T43PFP_00000000000000000000_56,AlanahalliKere,,4,,0,,1,-1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.7082274355585,12.283073612884197]}"
20170114T051141_20170114T052353_T43PFP_00000000000000000000_57,AlanahalliKere,,4,,0,,1,-1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.70629541269615,12.282814474590596]}"
20170114T051141_20170114T052353_T43PFP_00000000000000000000_58,AlanahalliKere,,1,,0,,1,-1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.70657116615337,12.282812755927203]}"
20170114T051141_20170114T052353_T43PFP_00000000000000000000_59,AlanahalliKere,,1,,0,,1,-1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.706846919569,12.282811036986399]}"
20170114T051141_20170114T052353_T43PFP_00000000000000000000_60,AlanahalliKere,,2,,0,,1,-1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.70712267294306,12.282809317768182]}"
20170114T051141_20170114T052353_T43PFP_00000000000000000000_61,AlanahalliKere,,3,,0,,1,-1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.70739842627553,12.282807598272553]}"
20170114T051141_20170114T052353_T43PFP_00000000000000000000_62,AlanahalliKere,,4,,0,,1,-1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.70767417956641,12.282805878499511]}"
20170114T051141_20170114T052353_T43PFP_00000000000000000000_63,AlanahalliKere,,4,,0,,1,-1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.7079499328157,12.282804158449059]}"
20170114T051141_20170114T052353_T43PFP_00000000000000000000_64,AlanahalliKere,,4,,0,,1,-1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.70822568602335,12.282802438121195]}"
20170114T051141_20170114T052353_T43PFP_00000000000000000000_65,AlanahalliKere,,4,,0,,1,-1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.70629366517718,12.282543299548248]}"
20170114T051141_20170114T052353_T43PFP_00000000000000000000_66,AlanahalliKere,,1,,0,,1,-1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.70656941835232,12.282541580923942]}"
20170114T051141_20170114T052353_T43PFP_00000000000000000000_67,AlanahalliKere,,1,,0,,1,-1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.70684517148587,12.282539862022231]}"
