system:index,AWEI_NS,AWEI_S,MNDWI1,MNDWI2,NDWI,datetime,.geo
20200124T051109_20200124T051244_T43PHQ_0,-9914.75,-3136.5,-0.4459504132231405,-0.2800687285223368,-0.33571145461751883,2020-01-24 05:25:09,"{""type"":""Point"",""coordinates"":[78.15656917243544,12.826418155727978]}"
20200124T051109_20200124T051244_T43PHQ_1,-5842.25,-2722.5,-0.3782051282051282,-0.05365853658536585,-0.46025437201907793,2020-01-24 05:25:09,"{""type"":""Point"",""coordinates"":[78.74163931502379,12.780724791715844]}"
20200124T051109_20200124T051244_T43PHQ_2,-20285.25,-5957.5,-0.33906204485872415,-0.23201895413775597,-0.2587389741914407,2020-01-24 05:25:09,"{""type"":""Point"",""coordinates"":[77.9756836721797,13.447137548045394]}"
20200124T051109_20200124T051244_T43PHQ_3,-12317.5,-5003.5,-0.4515159792406446,-0.2909604519774011,-0.45992469069392145,2020-01-24 05:25:09,"{""type"":""Point"",""coordinates"":[77.8583194257387,12.642488191446043]}"
20200124T051109_20200124T051244_T43PHQ_4,-10027.0,-2908.75,-0.4553450608930988,-0.3160577740016992,-0.31137724550898205,2020-01-24 05:25:09,"{""type"":""Point"",""coordinates"":[77.8488947210855,12.928129788553226]}"
20200124T051109_20200124T051244_T43PHQ_5,-9154.75,-3413.25,-0.45129642606867554,-0.24274661508704062,-0.4110567882662655,2020-01-24 05:25:09,"{""type"":""Point"",""coordinates"":[78.76999819878446,13.123839871754672]}"
20200124T051109_20200124T051244_T43PHQ_6,-16127.0,-5209.75,-0.4282162834058421,-0.30844399899774494,-0.326007326007326,2020-01-24 05:25:09,"{""type"":""Point"",""coordinates"":[78.44728713133662,13.154421994809873]}"
20200124T051109_20200124T051244_T43PHQ_7,-12010.0,-4609.5,-0.490295358649789,-0.2837944664031621,-0.43268628678772697,2020-01-24 05:25:09,"{""type"":""Point"",""coordinates"":[78.6685633848612,13.42648195272544]}"
20200124T051109_20200124T051244_T43PHQ_8,-16561.5,-5175.0,-0.5278088005360733,-0.38742393509127787,-0.3312242961088263,2020-01-24 05:25:09,"{""type"":""Point"",""coordinates"":[78.53625708568862,13.398857569739622]}"
20200124T051109_20200124T051244_T43PHQ_9,-13881.5,-4632.5,-0.33155299917830733,-0.1947537738183618,-0.3185340314136126,2020-01-24 05:25:09,"{""type"":""Point"",""coordinates"":[78.41007188651287,13.159892406141664]}"
20200129T051041_20200129T051611_T43PHQ_0,-11129.0,-4061.75,-0.43307943416757344,-0.18815738215816127,-0.3705829054666264,2020-01-29 05:25:05,"{""type"":""Point"",""coordinates"":[78.16117096699932,13.19461470745829]}"
20200129T051041_20200129T051611_T43PHQ_1,-10737.25,-3817.25,-0.4129711751662971,-0.18287037037037038,-0.35915279878971257,2020-01-29 05:25:05,"{""type"":""Point"",""coordinates"":[77.79906107857616,13.217468148692896]}"
