,geo,11,12,13,14,21,22,23,24,31,32,33,34,CODE
0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.01397596266042,24.87254079513223]}",0,1,0,0,0,27,0,0,0,12,0,1,7
1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.01427290832072,24.87254275586171]}",0,1,0,0,12,12,0,3,6,2,3,2,7
2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.0145698540123,24.872544716000814]}",0,1,0,0,15,12,0,0,6,4,0,3,7
3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.0133842223024,24.872265974846044]}",0,1,0,0,0,27,0,0,0,10,0,3,7
4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.013681167253,24.872267936732047]}",0,1,0,0,0,27,0,0,0,10,0,3,7
5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.01397811223491,24.87226989802769]}",0,1,0,0,0,27,0,0,0,8,2,3,7
6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.0142750572481,24.872271858732965]}",0,1,0,0,0,23,0,4,2,6,2,3,7
7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.01457200229258,24.872273818847876]}",0,1,0,0,9,16,0,2,6,4,0,3,7
8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.01308942886757,24.87199311532778]}",0,1,0,0,2,17,2,6,2,0,0,11,7
9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.01338637313977,24.87199507777992]}",0,1,0,0,0,10,5,12,4,0,0,9,7
10,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.0136833174433,24.87199703964171]}",0,1,0,0,0,25,0,2,2,4,2,5,7
11,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.0139802617781,24.871999000913142]}",0,1,0,0,0,27,0,0,0,10,0,3,7
12,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.01427720614421,24.872000961594217]}",0,0,1,0,0,27,0,0,0,10,0,3,7
13,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.01457415054159,24.872002921684942]}",0,0,1,0,0,27,0,0,0,10,0,3,7
14,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.01487109497026,24.87200488118531]}",0,0,1,0,13,12,0,2,6,4,1,2,7
15,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.01338852394584,24.871724180703794]}",0,1,0,0,4,13,4,6,6,2,0,5,7
16,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.01368546760226,24.87172614254137]}",0,1,0,0,0,27,0,0,0,6,2,5,7
17,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.01398241129,24.871728103788595]}",0,1,0,0,0,27,0,0,0,8,2,3,7
18,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.01427935500902,24.871730064445472]}",0,0,1,0,0,27,0,0,0,10,0,3,7
19,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.01457629875934,24.871732024512003]}",0,0,1,0,0,27,0,0,0,10,0,3,7
20,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.01487324254092,24.871733983988186]}",0,0,1,0,0,23,0,4,2,8,0,3,7
21,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.01517018635379,24.871735942874018]}",0,0,1,0,4,23,0,0,6,4,1,2,7
22,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.01368761772994,24.87145524543103]}",0,0,1,0,5,20,0,2,4,0,2,7,7
23,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.0139845607706,24.87145720665405]}",0,0,1,0,0,25,0,2,5,2,2,4,7
24,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.01428150384255,24.87145916728673]}",0,0,1,0,0,27,0,0,0,6,2,5,7
25,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.01457844694579,24.87146112732907]}",0,0,1,0,0,27,0,0,0,8,2,3,7
26,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.01487539008032,24.871463086781066]}",0,0,1,0,0,27,0,0,0,10,0,3,7
27,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.0151723332461,24.871465045642722]}",0,0,1,0,0,27,0,0,0,10,0,3,7
28,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.01546927644313,24.871467003914038]}",0,0,1,0,13,4,4,6,10,0,3,0,7
29,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.0136897678263,24.87118434831069]}",0,0,1,0,9,16,0,2,4,0,2,7,7
30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.01398671021991,24.8711863095095]}",0,0,1,0,13,12,0,2,8,0,2,3,7
31,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.01428365264482,24.87118827011798]}",0,0,1,0,2,25,0,0,4,0,0,9,7
32,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.014580595101,24.871190230136126]}",0,0,1,0,0,27,0,0,2,4,2,5,7
