district_name,min_lon,min_lat,max_lon,max_lat
Nicobar Islands,92.718102,6.754256,93.947807,9.256946
North and Middle Andaman,92.629852,12.06332,94.277779,14.935834
South Andaman,92.207237,10.510903,93.880699,12.32082
Anantapur,76.756989,13.675791,78.461617,15.225621
Chittoor,78.058342,12.61184,80.039757,13.984812
East Godavari,81.498032,16.310141,82.595261,18.005671
Guntur,79.191986,15.731806,80.896278,16.826389
Krishna,79.991676,15.70903,81.570671,17.138029
Kurnool,76.970139,14.892391,78.925537,16.15954
Nellore,79.062492,13.502809,80.268753,15.107851
Prakasam,78.734703,14.943492,80.471848,16.310581
Srikakulam,83.40609,18.0755,84.761017,19.156891
Visakhapatnam,81.85817,17.24625,83.477448,18.53846
Vizianagaram,82.991516,17.82003,83.816063,19.153631
West Godavari,80.855049,16.319862,81.857986,17.49
Y.S.R.,77.939766,13.71222,79.46093,15.228871
Anjaw,96.276619,27.62421,97.415161,28.466351
Changlang,95.632446,26.883631,97.172157,27.66823
Dibang Valley,95.242432,28.56237,96.615997,29.463345
East Kameng,92.590179,26.915541,93.390732,27.74189
East Siang,94.741356,27.739479,95.571281,28.56312
Kurung Kumey,92.661163,27.595371,93.910591,28.36763
Lohit,95.758217,27.562401,96.690987,28.377213
Longding,95.184502,26.656021,95.56562,27.11285
Lower Dibang Valley,95.320366,27.881788,96.372963,28.74449
Lower Subansiri,93.391731,27.32972,94.356796,28.028866
Namsai,95.770523,27.5511,96.11235,27.772905
Papum Pare,93.211212,26.93853,94.210655,27.641867
Tawang,91.554825,27.459578,92.315956,27.86352
Tirap,95.362274,26.821213,95.697617,27.27062
Upper Siang,94.171928,28.14856,95.409706,29.348591
Upper Subansiri,93.181068,27.76049,94.595581,28.71306
West Kameng,92.000977,26.889761,93.236282,27.97793
West Siang,93.960289,27.557711,94.957893,29.007002
Baksa,90.816017,26.460585,91.78627,26.839659
Barpeta,90.651672,26.08952,91.293457,26.664297
